Year,Month,Total_Ev_State
2022,January,31672
2022,February,38171
2022,March,58118
2022,April,55524
2022,May,45373
2022,June,47591
2022,July,50010
2022,August,55584
2022,September,56828
2022,October,81162
2022,November,80752
2022,December,68475
2023,January,68116
2023,February,70827
2023,March,95126
2023,April,72818
2023,May,112997
2023,June,53631
2023,July,61622
2023,August,69224
2023,September,69793
2023,October,81833
2023,November,98285
2023,December,82685
2024,January,89311
2024,February,89051
2024,March,138343
